accounting,3.156843184526284
admin,5.679507265075415
agriculture,5.258503401360544
arch,1.6912698412698413
arts,3.0563613231552162
aviation,1.4726840855106889
care,3.5220083841463414
childcare,3.558488003621548
construction,3.160436282278363
customer,4.6977139389035
driver,3.030861577638998
education,2.5565668594760123
engchem,2.111559139784946
engcivil,1.966472303206997
engelectric,1.758888888888889
engid,1.5778102664067577
engmech,1.740973971452561
finance,2.7913446676970635
food,3.0320279997358517
hospitality,3.38496644295302
hr,3.879612330686595
install,2.7533915981451793
insurance,2.8466154134633412
legal,3.072907553222514
management,2.3359691808596916
manufacturing,3.0197592550533727
marketing,3.5826372669332174
math,2.6588275391956375
meddental,2.867080518532043
meddr,1.2432122057255353
media,4.2371183781826955
medinfo,4.378980490874764
mednurse,1.9281215666248859
medtech,3.128440987487318
military,2.2445414847161573
mining,1.1014492753623188
personal,1.8116305301416218
pharmacy,2.342224524148647
project,2.522247054043072
protective,4.240826801692447
realestate,4.3594080338266386
retail,3.641242184849513
sales,2.7097616932115054
sanitation,3.6282839298106473
science,2.637042625424368
service,3.986039464665777
socialscience,3.8213419563459983
sports,2.4595189003436424
tech,2.7142857142857144
techhelp,2.534876322277897
techinfo,2.1550719005052468
techsoftware,1.5362909352080771
therapy,1.680117641970503
transport,3.838921099067305
uncategorized,3.1389922832501136
veterinary,3.4393997691419775
warehouse,5.57863233847163
